captcha_type,captcha_text,user_input,success,typing_time,accuracy,ai_result,generation_strategy,p_distort,p_noise,p_rotate
image (question),6MF4Y,SXT7D,0,8.65,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),6J6ZE,6J6ZE,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),YGWJR,YGWJR,1,5.97,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),JA2WJ,JA2WJ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),YTD8Y,YTD8Y,1,8.84,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),UEEK6,UEEK6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),GHD26,7HF3F,0,8.25,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),PF73P,PF73P,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),3J3D5,3J3D5,1,8.72,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),QK3HA,QK3HA,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),JC2MS,8D9F8,0,6.75,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),JDPZL,D6GBP,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),S3X8Z,S3X8Z,1,3.49,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),XLL5Z,XLL5Z,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),XLYTG,6VKTA,0,7.74,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),KPUWQ,KPUWQ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),S38ZX,S38ZX,1,7.43,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),L42XH,L42XH,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),B9V2Q,B9V2Q,1,8.03,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),NNEY6,NNEY6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),H3YQT,H3YQT,1,8.61,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),X9V86,X9V86,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),6P7QF,6P7QF,1,8.26,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),4J2RH,4J2RH,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),KJLTE,KJLTE,1,4.07,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),GPLQB,GPLQB,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),28A6U,28A6U,1,5.46,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),258PZ,258PZ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),6RJRN,6RJRN,1,5.83,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),FQEVA,FQEVA,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),XCP5F,XCP5F,1,4.48,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),L2N24,L2N24,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),RZB8H,28GAE,0,7.56,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),EXUGY,EXUGY,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),VZD48,VZD48,1,9.5,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),U7N8G,U7N8G,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),WD25V,BTXCW,0,6.96,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),APRPM,APRPM,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),PZ8J3,4ULH7,0,6.25,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),JQ2UX,JQ2UX,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),5FG3L,5FG3L,1,4.93,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),A8CZR,A8CZR,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),WR3CH,WR3CH,1,7.65,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),MTM9T,MTM9T,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),JJDGD,GZJU2,0,7.83,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),V94KM,V94KM,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),TJ9TY,TJ9TY,1,8.27,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),DAKRL,DAKRL,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),5DCRU,5DCRU,1,4.04,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),UK9D2,UK9D2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),V2N7K,VVZ8G,0,5.14,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),GXFFC,GXFFC,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),YRBKK,YRBKK,1,4.63,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),J3U3G,J3U3G,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),W74CF,W74CF,1,8.77,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),7QQKN,7QQKN,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),RCBPL,RCBPL,1,4.6,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),X5UA2,X5UA2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),2FSQJ,2FSQJ,1,8.7,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),9RPLD,9RPLD,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),YK84T,YK84T,1,4.77,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),D254A,D254A,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),BSVRQ,BSVRQ,1,6.84,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),7QYD9,7QYD9,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),YKAPH,YKAPH,1,3.82,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),4RYSJ,HTN7S,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),65J3P,65J3P,1,3.02,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),Z4UX5,Z4UX5,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),MTTQL,N5PLR,0,4.67,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),7N93W,7N93W,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),BSU55,BSU55,1,9.37,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),AE59C,AE59C,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),YW555,6RTVH,0,7.39,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),XKHC9,XKHC9,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),DFKAL,DFKAL,1,5.62,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),ESU3F,ESU3F,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),NXRUH,NXRUH,1,4.79,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),A36XF,9K8YQ,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),K95DN,K95DN,1,9.95,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),K9XJU,K9XJU,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),97Z46,97Z46,1,5.47,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),WVXZX,WVXZX,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),6WKQU,6WKQU,1,9.37,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),LPG36,LPG36,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),74J4R,74J4R,1,5.37,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),D8E85,D8E85,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),N5TCN,N5TCN,1,6.18,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),XXU48,XXU48,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),RV8LV,RV8LV,1,8.77,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),7KPE8,DHTNM,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),8YTUZ,8YTUZ,1,8.84,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),V8JYG,5DXT9,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),MNGD5,MNGD5,1,4.48,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),W9BL9,W9BL9,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),4TU4H,J99T3,0,7.17,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),D5EM3,D5EM3,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),FBZSZ,FBZSZ,1,5.53,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),UQHVZ,UQHVZ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),Q8BRN,Q8BRN,1,7.99,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),Q6LEE,Q6LEE,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),TL9SQ,TL9SQ,1,8.55,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),DW6T5,DW6T5,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),HLQPD,HLQPD,1,4.78,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),8XRCC,8XRCC,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),Z3TUT,Z3TUT,1,5.88,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),58P7B,58P7B,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),MUGXH,MUGXH,1,6.89,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),DJHPT,DJHPT,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),WA74J,WA74J,1,8.34,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),7MFEX,7MFEX,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),WAZGP,WAZGP,1,5.18,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),L8V6E,L8V6E,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),CQPVP,PKXRX,0,3.8,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),BNVAK,BNVAK,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),2KDRP,2KDRP,1,7.93,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),S43C5,S43C5,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),QCLPN,QCLPN,1,3.81,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),AL3V4,AL3V4,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),5HUSN,5HUSN,1,4.55,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),2CWSG,2CWSG,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),8WEDJ,8WEDJ,1,8.32,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),WF2R2,WF2R2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),7UWV5,7UWV5,1,6.08,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),RW3UM,RW3UM,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),QB4C5,QB4C5,1,6.55,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),QT36Q,QT36Q,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),LREBD,WBY9S,0,3.59,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),VM7N2,VM7N2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),3WCDX,3WCDX,1,8.96,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),8VECX,8VECX,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),WXEYC,WXEYC,1,8.54,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),4X4ZX,4X4ZX,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),XSAK8,HEC5D,0,6.4,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),246BL,246BL,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),NF423,NF423,1,3.31,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),MZ9V2,MZ9V2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),H836G,QKNS8,0,9.89,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),43EJW,43EJW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),D55K2,D55K2,1,6.59,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),4C746,4C746,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),NMNCH,W3EK4,0,8.87,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),YEYQA,YEYQA,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),GE8VP,GE8VP,1,3.85,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),HWVC4,HWVC4,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),ASHEP,ASHEP,1,6.99,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),FXSM8,FXSM8,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),9TNRW,9TNRW,1,3.11,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),3MZW2,3MZW2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),EMLW4,EMLW4,1,7.87,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),W3C2Q,W3C2Q,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),36LKN,36LKN,1,3.26,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),WK5BW,WK5BW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),M6Z6N,M6Z6N,1,6.48,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),7S3ZC,FKDLK,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),QYFQQ,9J98C,0,5.47,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),WM3X8,WM3X8,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),XQEHW,XQEHW,1,6.97,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),VX8M2,VX8M2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),MLJ8A,MLJ8A,1,5.71,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),TJJQ9,TJJQ9,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),9GECF,9GECF,1,3.61,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),X5LMC,X5LMC,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),KFYYF,KFYYF,1,3.85,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),GE3AT,GE3AT,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),9E6CN,9E6CN,1,6.68,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),24C9W,24C9W,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),SE4TU,SE4TU,1,9.37,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),BDEFL,BDEFL,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),8SKCG,8SKCG,1,7.38,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),VCWUU,VCWUU,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),ZV4U4,ZV4U4,1,9.64,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),2JGUV,2JGUV,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),WK8R3,WK8R3,1,6.17,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),YFPQL,YFPQL,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),YZ59E,YZ59E,1,3.74,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),HDQEB,HDQEB,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),P8647,P8647,1,8.34,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),RSRKA,RSRKA,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),8GMBR,8GMBR,1,5.0,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),ADEJM,ADEJM,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),NUGTC,NUGTC,1,6.85,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),4VVED,4VVED,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),L82GS,L82GS,1,3.27,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),Y3SE6,Y3SE6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),VF9ZK,VF9ZK,1,6.57,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),RURAL,U3ZYA,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),R832U,R832U,1,6.36,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),SZ2N4,SZ2N4,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),8DALE,8DALE,1,6.51,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),VR5ZY,VR5ZY,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),LXSLF,LXSLF,1,5.48,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),2ZWYV,JK892,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),YYRRT,YYRRT,1,3.85,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),XN948,XN948,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),KYMQJ,KYMQJ,1,8.8,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),JTJDZ,JTJDZ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),XSWBP,XSWBP,1,7.77,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),E89FW,E89FW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),G8LW7,G8LW7,1,4.63,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),Z5B7P,B43FZ,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),5KBKV,5KBKV,1,9.92,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),TR85Q,TR85Q,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),LZWYA,2F564,0,6.97,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),SCXFE,ANQJL,0,0,0.0,FAILURE_MLLM,G1_Baseline,0.5,0.5,0.5
