captcha_type,captcha_text,user_input,success,typing_time,accuracy,ai_result,generation_strategy,p_distort,p_noise,p_rotate,Target
image (adversarial),WV08H,WV08H,1,4.22,1.0,HUMAN_AGENT,G1_Baseline,2,0.35,10,1.0
image (semantic),CAQVK,CAQVK,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.36,10,1.0
image (adversarial),QY72W,QY72W,1,6.81,1.0,HUMAN_AGENT,G1_Baseline,4,0.46,10,1.0
image (question),X63CF,PQKOJ,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.42,10,0.0
image (adversarial),TPV60,TPV60,1,7.72,1.0,HUMAN_AGENT,G1_Baseline,4,0.35,10,1.0
image (adversarial),4VA13,4VA13,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.31,10,1.0
image (semantic),X6GVW,X6GVW,1,5.33,1.0,HUMAN_AGENT,G1_Baseline,3,0.49,10,1.0
image (question),Y4LYK,Y4LYK,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.46,10,1.0
image (question),DJE15,DJE15,1,3.38,1.0,HUMAN_AGENT,G1_Baseline,2,0.43,10,1.0
image (semantic),SWRPB,SWRPB,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.41,10,1.0
image (adversarial),ZE9VI,ZE9VI,1,3.65,1.0,HUMAN_AGENT,G1_Baseline,2,0.36,10,1.0
image (semantic),96QE3,96QE3,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.49,10,1.0
image (question),J49IT,J49IT,1,9.16,1.0,HUMAN_AGENT,G1_Baseline,3,0.34,10,1.0
image (adversarial),5J2O7,5J2O7,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.35,10,1.0
image (semantic),KV9RF,KV9RF,1,6.8,1.0,HUMAN_AGENT,G1_Baseline,4,0.4,10,1.0
image (semantic),QLGZU,QLGZU,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.47,10,1.0
image (semantic),0Z3NX,8LD4D,0,3.88,0.0,HUMAN_AGENT,G1_Baseline,4,0.5,10,0.0
image (semantic),6AF58,6AF58,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.39,10,1.0
image (question),YX444,5BCW7,0,8.32,0.0,HUMAN_AGENT,G1_Baseline,3,0.49,10,0.0
image (question),90PDW,90PDW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.39,10,1.0
image (question),BLCMP,BLCMP,1,4.26,1.0,HUMAN_AGENT,G1_Baseline,2,0.41,10,1.0
image (semantic),GVNYR,GVNYR,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.33,10,1.0
image (semantic),QY6QK,K8YQK,0,9.91,0.0,HUMAN_AGENT,G1_Baseline,4,0.33,10,0.0
image (semantic),94DNM,94DNM,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.5,10,1.0
image (question),3OA52,3OA52,1,9.33,1.0,HUMAN_AGENT,G1_Baseline,2,0.48,10,1.0
image (question),K2VMW,K2VMW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.35,10,1.0
image (semantic),YEDWB,K0GET,0,3.63,0.0,HUMAN_AGENT,G1_Baseline,3,0.31,10,0.0
image (semantic),8T63J,8T63J,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.49,10,1.0
image (semantic),ME8F8,N2ATQ,0,8.63,0.0,HUMAN_AGENT,G1_Baseline,4,0.44,10,0.0
image (semantic),YYV37,YYV37,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.43,10,1.0
image (semantic),5U6HC,BB9EI,0,3.82,0.0,HUMAN_AGENT,G1_Baseline,3,0.48,10,0.0
image (question),TNN8Z,TNN8Z,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.38,10,1.0
image (semantic),5X4W7,5X4W7,1,6.11,1.0,HUMAN_AGENT,G1_Baseline,3,0.31,10,1.0
image (semantic),IN9N6,IN9N6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.37,10,1.0
image (adversarial),883DH,883DH,1,5.33,1.0,HUMAN_AGENT,G1_Baseline,4,0.42,10,1.0
image (adversarial),92H3T,92H3T,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.34,10,1.0
image (adversarial),F6A4F,F6A4F,1,9.07,1.0,HUMAN_AGENT,G1_Baseline,2,0.41,10,1.0
image (question),EM2VA,EM2VA,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.31,10,1.0
image (question),ECQNV,ECQNV,1,8.48,1.0,HUMAN_AGENT,G1_Baseline,3,0.4,10,1.0
image (semantic),5SQ8C,5SQ8C,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.47,10,1.0
image (question),R6CCV,R6CCV,1,6.84,1.0,HUMAN_AGENT,G1_Baseline,2,0.33,10,1.0
image (adversarial),L9TQV,X1ZHQ,0,0,0.0,FAILURE_MLLM,G1_Baseline,2,0.46,10,0.0
image (semantic),IMQOD,IMQOD,1,4.07,1.0,HUMAN_AGENT,G1_Baseline,3,0.36,10,1.0
image (adversarial),7C3DD,7C3DD,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.37,10,1.0
image (semantic),VULEM,8VMUH,0,8.05,0.0,HUMAN_AGENT,G1_Baseline,4,0.49,10,0.0
image (semantic),XID4N,93WXA,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.41,10,0.0
image (semantic),73JGZ,73JGZ,1,9.09,1.0,HUMAN_AGENT,G1_Baseline,3,0.48,10,1.0
image (semantic),UOFWB,UOFWB,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.41,10,1.0
image (adversarial),MNZ1U,MNZ1U,1,7.32,1.0,HUMAN_AGENT,G1_Baseline,2,0.48,10,1.0
image (question),YJXRP,YJXRP,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.34,10,1.0
image (question),PKYRY,PKYRY,1,4.43,1.0,HUMAN_AGENT,G1_Baseline,2,0.34,10,1.0
image (adversarial),811KE,811KE,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.45,10,1.0
image (adversarial),TIUYM,TIUYM,1,6.22,1.0,HUMAN_AGENT,G1_Baseline,3,0.47,10,1.0
image (adversarial),CLPOX,G8QYN,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.32,10,0.0
image (adversarial),PDPOC,PDPOC,1,4.18,1.0,HUMAN_AGENT,G1_Baseline,3,0.45,10,1.0
image (question),SES6M,SES6M,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.49,10,1.0
image (question),IFHV1,IFHV1,1,8.28,1.0,HUMAN_AGENT,G1_Baseline,4,0.32,10,1.0
image (question),1Q7UW,1Q7UW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.36,10,1.0
image (semantic),PQW2V,PQW2V,1,3.26,1.0,HUMAN_AGENT,G1_Baseline,3,0.4,10,1.0
image (semantic),NKX9D,NKX9D,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.4,10,1.0
image (semantic),80B6U,80B6U,1,9.7,1.0,HUMAN_AGENT,G1_Baseline,2,0.36,10,1.0
image (adversarial),Q349D,Q349D,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.33,10,1.0
image (semantic),9SVN7,WMLUN,0,3.37,0.0,HUMAN_AGENT,G1_Baseline,3,0.38,10,0.0
image (adversarial),J48VF,LXXEZ,0,0,0.0,FAILURE_MLLM,G1_Baseline,2,0.42,10,0.0
image (question),DUXLE,DYSAL,0,9.39,0.0,HUMAN_AGENT,G1_Baseline,4,0.47,10,0.0
image (adversarial),8M1G9,8M1G9,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.32,10,1.0
image (semantic),T0SX5,T0SX5,1,4.27,1.0,HUMAN_AGENT,G1_Baseline,4,0.33,10,1.0
image (adversarial),YW6ZB,V12II,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.44,10,0.0
image (semantic),826GY,SPFHV,0,8.45,0.0,HUMAN_AGENT,G1_Baseline,4,0.5,10,0.0
image (adversarial),5BRN7,5BRN7,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.47,10,1.0
image (semantic),1J6FP,ONNCI,0,5.9,0.0,HUMAN_AGENT,G1_Baseline,2,0.46,10,0.0
image (semantic),LDZMF,LDZMF,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.36,10,1.0
image (adversarial),EZQAC,EZQAC,1,8.09,1.0,HUMAN_AGENT,G1_Baseline,3,0.34,10,1.0
image (question),SEKKB,SEKKB,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.43,10,1.0
image (semantic),D6VAS,D6VAS,1,7.3,1.0,HUMAN_AGENT,G1_Baseline,2,0.44,10,1.0
image (question),IOXD9,IOXD9,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.49,10,1.0
image (adversarial),9TOQW,9TOQW,1,3.47,1.0,HUMAN_AGENT,G1_Baseline,3,0.35,10,1.0
image (question),IXDU1,IXDU1,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.31,10,1.0
image (adversarial),X3Y9R,BH25L,0,9.61,0.0,HUMAN_AGENT,G1_Baseline,2,0.46,10,0.0
image (semantic),LO3RB,BXJ2P,0,0,0.0,FAILURE_MLLM,G1_Baseline,4,0.34,10,0.0
image (question),OP8MG,OP8MG,1,3.58,1.0,HUMAN_AGENT,G1_Baseline,4,0.4,10,1.0
image (question),PP9GK,PP9GK,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.32,10,1.0
image (semantic),QZFPQ,X2CYO,0,6.04,0.0,HUMAN_AGENT,G1_Baseline,4,0.47,10,0.0
image (adversarial),S0FB4,S0FB4,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.46,10,1.0
image (semantic),IXN8B,IXN8B,1,8.34,1.0,HUMAN_AGENT,G1_Baseline,2,0.44,10,1.0
image (adversarial),UTOXI,UTOXI,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.31,10,1.0
image (semantic),NUJJQ,NUJJQ,1,3.95,1.0,HUMAN_AGENT,G1_Baseline,4,0.36,10,1.0
image (question),CGZ93,CGZ93,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.43,10,1.0
image (semantic),T64Z7,T64Z7,1,3.85,1.0,HUMAN_AGENT,G1_Baseline,4,0.33,10,1.0
image (question),HE2AT,HE2AT,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.39,10,1.0
image (question),5COZR,5COZR,1,9.81,1.0,HUMAN_AGENT,G1_Baseline,3,0.45,10,1.0
image (adversarial),XQYM5,XQYM5,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.43,10,1.0
image (semantic),ES53S,8SKCH,0,4.58,0.0,HUMAN_AGENT,G1_Baseline,3,0.33,10,0.0
image (question),8JWWD,8JWWD,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.33,10,1.0
image (question),XZV4U,HUWB6,0,4.85,0.0,HUMAN_AGENT,G1_Baseline,2,0.32,10,0.0
image (adversarial),TXKI3,TXKI3,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.36,10,1.0
image (semantic),FOQMF,NULQJ,0,3.92,0.0,HUMAN_AGENT,G1_Baseline,4,0.36,10,0.0
image (adversarial),IDKNW,IDKNW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.49,10,1.0
image (semantic),7ZGF9,7ZGF9,1,3.63,1.0,HUMAN_AGENT,G1_Baseline,3,0.4,10,1.0
image (question),OQIVB,OQIVB,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.4,10,1.0
image (semantic),KADEJ,KADEJ,1,3.36,1.0,HUMAN_AGENT,G1_Baseline,3,0.45,10,1.0
image (question),UNKNQ,UNKNQ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.36,10,1.0
image (adversarial),E9O2M,E9O2M,1,5.81,1.0,HUMAN_AGENT,G1_Baseline,3,0.45,10,1.0
image (question),BBZ2S,BBZ2S,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.42,10,1.0
image (question),7LOW4,7LOW4,1,7.96,1.0,HUMAN_AGENT,G1_Baseline,4,0.37,10,1.0
image (question),K3NY9,WVJX8,0,0,0.0,FAILURE_MLLM,G1_Baseline,4,0.36,10,0.0
image (semantic),UIBRS,UIBRS,1,7.77,1.0,HUMAN_AGENT,G1_Baseline,4,0.42,10,1.0
image (adversarial),B8DAL,B8DAL,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.38,10,1.0
image (question),1750C,1750C,1,7.64,1.0,HUMAN_AGENT,G1_Baseline,2,0.4,10,1.0
image (question),SLG6M,SLG6M,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.44,10,1.0
image (semantic),2JR8K,YRRU7,0,7.93,0.0,HUMAN_AGENT,G1_Baseline,3,0.34,10,0.0
image (adversarial),ZKUT6,ZKUT6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.46,10,1.0
image (question),KZMPJ,KZMPJ,1,6.93,1.0,HUMAN_AGENT,G1_Baseline,3,0.34,10,1.0
image (adversarial),JD0IB,JD0IB,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.35,10,1.0
image (adversarial),OZD1A,OZD1A,1,9.55,1.0,HUMAN_AGENT,G1_Baseline,4,0.5,10,1.0
image (adversarial),5RH8L,5RH8L,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.31,10,1.0
image (adversarial),I04B7,42G05,0,3.25,0.0,HUMAN_AGENT,G1_Baseline,3,0.48,10,0.0
image (question),KBKV7,KBKV7,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.36,10,1.0
image (question),R74QG,R74QG,1,4.8,1.0,HUMAN_AGENT,G1_Baseline,2,0.37,10,1.0
image (question),G02U1,3SDYG,0,0,0.0,FAILURE_MLLM,G1_Baseline,2,0.42,10,0.0
image (semantic),FLIJI,FLIJI,1,7.01,1.0,HUMAN_AGENT,G1_Baseline,3,0.49,10,1.0
image (question),JMIYQ,51YW7,0,0,0.0,FAILURE_MLLM,G1_Baseline,2,0.38,10,0.0
image (question),NH8RQ,NH8RQ,1,6.3,1.0,HUMAN_AGENT,G1_Baseline,4,0.37,10,1.0
image (question),TXHI1,TXHI1,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.41,10,1.0
image (adversarial),CUCTS,CUCTS,1,6.64,1.0,HUMAN_AGENT,G1_Baseline,4,0.41,10,1.0
image (question),EHUDS,EHUDS,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.39,10,1.0
image (question),UUYLA,UUYLA,1,3.51,1.0,HUMAN_AGENT,G1_Baseline,3,0.46,10,1.0
image (semantic),PZTC6,PZTC6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.31,10,1.0
image (semantic),EX08N,EX08N,1,7.78,1.0,HUMAN_AGENT,G1_Baseline,3,0.39,10,1.0
image (adversarial),XTXMG,XTXMG,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.38,10,1.0
image (semantic),IAAKY,MJ70E,0,4.73,0.0,HUMAN_AGENT,G1_Baseline,4,0.38,10,0.0
image (question),3P15A,3P15A,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.31,10,1.0
image (adversarial),VZB0O,VZB0O,1,9.95,1.0,HUMAN_AGENT,G1_Baseline,2,0.41,10,1.0
image (adversarial),I6UU1,SOJUV,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.35,10,0.0
image (question),0GYUB,0GYUB,1,6.67,1.0,HUMAN_AGENT,G1_Baseline,3,0.49,10,1.0
image (semantic),ZOKGT,FQCOO,0,0,0.0,FAILURE_MLLM,G1_Baseline,2,0.47,10,0.0
image (adversarial),TNJLC,TNJLC,1,8.81,1.0,HUMAN_AGENT,G1_Baseline,3,0.47,10,1.0
image (question),BNVBC,BNVBC,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.44,10,1.0
image (adversarial),H6K6H,6ZZOI,0,8.28,0.0,HUMAN_AGENT,G1_Baseline,2,0.49,10,0.0
image (semantic),LKQXL,LKQXL,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.4,10,1.0
image (question),201LH,ATVZK,0,8.19,0.0,HUMAN_AGENT,G1_Baseline,3,0.38,10,0.0
image (semantic),HIUIT,XRG2G,0,0,0.0,FAILURE_MLLM,G1_Baseline,4,0.37,10,0.0
image (adversarial),ZR7TX,1O4IZ,0,7.68,0.0,HUMAN_AGENT,G1_Baseline,2,0.4,10,0.0
image (question),ASNWY,ASNWY,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.48,10,1.0
image (question),ATATJ,6DDFG,0,8.64,0.0,HUMAN_AGENT,G1_Baseline,3,0.3,10,0.0
image (adversarial),S3JON,IY4X4,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.39,10,0.0
image (adversarial),1DNTC,1DNTC,1,6.04,1.0,HUMAN_AGENT,G1_Baseline,2,0.44,10,1.0
image (question),2U4DT,RBC76,0,0,0.0,FAILURE_MLLM,G1_Baseline,2,0.35,10,0.0
image (question),UB7L8,KUU4Y,0,9.5,0.0,HUMAN_AGENT,G1_Baseline,4,0.33,10,0.0
image (semantic),TN02Y,TN02Y,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.4,10,1.0
image (semantic),P4M18,P4M18,1,4.91,1.0,HUMAN_AGENT,G1_Baseline,3,0.49,10,1.0
image (semantic),9RM7P,9RM7P,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.42,10,1.0
image (adversarial),W2ZCF,DALMJ,0,5.22,0.0,HUMAN_AGENT,G1_Baseline,4,0.46,10,0.0
image (question),EGQTO,EGQTO,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.32,10,1.0
image (question),VLNKN,UGNEK,0,9.85,0.0,HUMAN_AGENT,G1_Baseline,2,0.44,10,0.0
image (adversarial),RCPPR,RCPPR,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.37,10,1.0
image (question),RWQEA,RWQEA,1,9.04,1.0,HUMAN_AGENT,G1_Baseline,3,0.37,10,1.0
image (question),PP3XV,PP3XV,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.36,10,1.0
image (adversarial),L88KZ,L88KZ,1,4.96,1.0,HUMAN_AGENT,G1_Baseline,3,0.49,10,1.0
image (question),2N7H9,2N7H9,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.44,10,1.0
image (semantic),07H23,07H23,1,3.97,1.0,HUMAN_AGENT,G1_Baseline,2,0.46,10,1.0
image (semantic),KJFPN,KJFPN,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.5,10,1.0
image (question),T75PB,T75PB,1,9.4,1.0,HUMAN_AGENT,G1_Baseline,3,0.44,10,1.0
image (question),DIXFW,DIXFW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.5,10,1.0
image (question),8L2DD,8L2DD,1,7.81,1.0,HUMAN_AGENT,G1_Baseline,2,0.4,10,1.0
image (adversarial),HNQYY,HNQYY,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.37,10,1.0
image (semantic),K7D30,MDZQC,0,6.65,0.0,HUMAN_AGENT,G1_Baseline,3,0.36,10,0.0
image (question),BZAMD,BZAMD,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.49,10,1.0
image (adversarial),GFU8I,BWHVN,0,6.02,0.0,HUMAN_AGENT,G1_Baseline,3,0.43,10,0.0
image (question),ZH13C,ZH13C,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.46,10,1.0
image (semantic),LQJ5S,M4W3Z,0,7.11,0.0,HUMAN_AGENT,G1_Baseline,4,0.36,10,0.0
image (semantic),KWDEE,KWDEE,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.32,10,1.0
image (question),SPENG,GKG4W,0,4.21,0.0,HUMAN_AGENT,G1_Baseline,4,0.41,10,0.0
