timestamp,group,captcha_type,captcha_text,rendered_text,p_distort,p_noise,p_rotate,agent_type,agent_response,success,typing_time,accuracy
2025-10-24T19:23:37.987133,G1_Baseline,question,20-13=?,G1_Baseline_question_17_20251024T192337086528.png,0.39,0.2,11.164596709304764,TESSERACT,20-13=?,0,0.0,0.0
2025-10-24T19:23:38.895571,G1_Baseline,semantic,KIWI,G1_Baseline_semantic_18_20251024T192337994653.png,0.31,0.35,10.599077196588874,HUMAN,,0,0.816,0.0
2025-10-24T19:23:38.967612,G1_Baseline,semantic,KIWI,G1_Baseline_semantic_18_20251024T192337994653.png,0.31,0.35,10.599077196588874,TESSERACT,KIWI,1,0.0,1.0
2025-10-24T19:23:39.874389,G1_Baseline,question,16*5=?,G1_Baseline_question_19_20251024T192338976383.png,0.34,0.28,6.155313118424562,HUMAN,,0,0.813,0.0
2025-10-24T19:23:39.951976,G1_Baseline,question,16*5=?,G1_Baseline_question_19_20251024T192338976383.png,0.34,0.28,6.155313118424562,TESSERACT,16*5=?,0,0.0,0.0
2025-10-24T19:23:40.856720,G1_Baseline,adversarial,DQYUN,G1_Baseline_adversarial_20_20251024T192339960952.png,0.33,0.23,8.231889108360582,HUMAN,,0,0.803,0.0
2025-10-24T19:23:40.932715,G1_Baseline,adversarial,DQYUN,G1_Baseline_adversarial_20_20251024T192339960952.png,0.33,0.23,8.231889108360582,TESSERACT,DQYUN,1,0.0,1.0
2025-10-24T19:23:41.886741,G1_Baseline,question,14*13=?,G1_Baseline_question_21_20251024T192340940273.png,0.21,0.26,9.741431007952862,HUMAN,,0,0.86,0.0
2025-10-24T19:23:41.963586,G1_Baseline,question,14*13=?,G1_Baseline_question_21_20251024T192340940273.png,0.21,0.26,9.741431007952862,TESSERACT,14*13=?,0,0.0,0.0
2025-10-24T19:23:42.855077,G1_Baseline,semantic,GALAXY,G1_Baseline_semantic_22_20251024T192341971339.png,0.37,0.32,5.847385455471206,HUMAN,,0,0.798,0.0
2025-10-24T19:23:42.926996,G1_Baseline,semantic,GALAXY,G1_Baseline_semantic_22_20251024T192341971339.png,0.37,0.32,5.847385455471206,TESSERACT,GALAXY,1,0.0,1.0
2025-10-24T19:23:44.506430,G1_Baseline,adversarial,X3J1L,G1_Baseline_adversarial_23_20251024T192342934477.png,0.37,0.36,5.73877209450799,HUMAN,,0,1.49,0.0
2025-10-24T19:23:44.576624,G1_Baseline,adversarial,X3J1L,G1_Baseline_adversarial_23_20251024T192342934477.png,0.37,0.36,5.73877209450799,TESSERACT,X3J1L,1,0.0,1.0
2025-10-24T19:23:45.830689,G1_Baseline,adversarial,LMN4R,G1_Baseline_adversarial_24_20251024T192344584858.png,0.26,0.35,11.656142922754043,HUMAN,,0,1.159,0.0
2025-10-24T19:23:45.909881,G1_Baseline,adversarial,LMN4R,G1_Baseline_adversarial_24_20251024T192344584858.png,0.26,0.35,11.656142922754043,TESSERACT,",MNAR",0,0.0,0.0
2025-10-24T19:23:46.856331,G1_Baseline,question,8-7=?,G1_Baseline_question_25_20251024T192345917208.png,0.21,0.39,5.694635023423517,HUMAN,,0,0.85,0.0
2025-10-24T19:23:46.929043,G1_Baseline,question,8-7=?,G1_Baseline_question_25_20251024T192345917208.png,0.21,0.39,5.694635023423517,TESSERACT,8-7=7,0,0.0,0.0
2025-10-24T19:23:47.658967,G1_Baseline,question,11+15=?,G1_Baseline_question_26_20251024T192346936868.png,0.32,0.26,6.620333641892181,HUMAN,,0,0.635,0.0
2025-10-24T19:23:47.731557,G1_Baseline,question,11+15=?,G1_Baseline_question_26_20251024T192346936868.png,0.32,0.26,6.620333641892181,TESSERACT,11+15=?,0,0.0,0.0
2025-10-24T19:23:50.772474,G1_Baseline,adversarial,RJEDK,G1_Baseline_adversarial_27_20251024T192347739396.png,0.29,0.31,9.533443063817366,HUMAN,,0,2.919,0.0
2025-10-24T19:23:50.844938,G1_Baseline,adversarial,RJEDK,G1_Baseline_adversarial_27_20251024T192347739396.png,0.29,0.31,9.533443063817366,TESSERACT,RJEDK,1,0.0,1.0
2025-10-24T19:23:51.676450,G1_Baseline,question,5*13=?,G1_Baseline_question_28_20251024T192350851871.png,0.21,0.22,6.766791956595454,HUMAN,,0,0.742,0.0
2025-10-24T19:23:51.753874,G1_Baseline,question,5*13=?,G1_Baseline_question_28_20251024T192350851871.png,0.21,0.22,6.766791956595454,TESSERACT,5*13=7,0,0.0,0.0
2025-10-24T19:23:53.327405,G1_Baseline,question,8*9=?,G1_Baseline_question_29_20251024T192351761460.png,0.35,0.33,10.319933752427119,HUMAN,,0,1.47,0.0
2025-10-24T19:23:53.407195,G1_Baseline,question,8*9=?,G1_Baseline_question_29_20251024T192351761460.png,0.35,0.33,10.319933752427119,TESSERACT,G*9=?,0,0.0,0.0
2025-10-24T19:25:42.199616,G2_LLM_ZSA_CG,question,2-18=?,G2_LLM_ZSA_CG_question_0_20251024T192353415286.png,0.74,0.78,1.8645008303600106,HUMAN,,0,108.681,0.0
2025-10-24T19:25:42.338747,G2_LLM_ZSA_CG,question,2-18=?,G2_LLM_ZSA_CG_question_0_20251024T192353415286.png,0.74,0.78,1.8645008303600106,TESSERACT,2-18=?,0,0.0,0.0
2025-10-24T19:25:45.574160,G2_LLM_ZSA_CG,adversarial,S6R04,G2_LLM_ZSA_CG_adversarial_1_20251024T192542354898.png,0.69,0.56,5.595918359604626,HUMAN,,0,3.073,0.0
2025-10-24T19:25:45.665141,G2_LLM_ZSA_CG,adversarial,S6R04,G2_LLM_ZSA_CG_adversarial_1_20251024T192542354898.png,0.69,0.56,5.595918359604626,TESSERACT,S6R04,1,0.0,1.0
2025-10-30T10:35:51.367097,G1_Baseline,question,6*4=?,G1_Baseline_question_0_20251030T103516031251.png,0.22,0.35,6.714242976624334,HUMAN,24,1,34.901,1.0
2025-10-30T10:35:51.605170,G1_Baseline,question,6*4=?,G1_Baseline_question_0_20251030T103516031251.png,0.22,0.35,6.714242976624334,TESSERACT,6*4=?2,0,0.0,0.0
